title,year,tomatometer,audience_score,box_office,credits,category,Director Name
The Calendar Girl Murders,1984,No Score Yet,24,,Director,Movie,William Graham
Secrets of a Married Man,1984,No Score Yet,40,,Director,Movie,William Graham
Women of San Quentin,1983,No Score Yet,No Score Yet,,Director,Movie,William Graham
The Last Ninja,1983,No Score Yet,57,,Director,Movie,William Graham
M.A.D.D.: The Candy Lightner Story,1983,No Score Yet,No Score Yet,,Director,Movie,William Graham
Harry Tracy,1982,No Score Yet,27,,Director,Movie,William Graham
American Eagle,1982,No Score Yet,No Score Yet,,Director,Movie,William Graham
Deadly Encounter,1982,No Score Yet,No Score Yet,,Director,Movie,William Graham
Rage,1980,No Score Yet,No Score Yet,,Director,Movie,William Graham
Transplant,1979,No Score Yet,No Score Yet,,Director,Movie,William Graham
Orphan Train,1979,No Score Yet,No Score Yet,,Director,Movie,William Graham
Cindy,1978,No Score Yet,No Score Yet,,Director,Movie,William Graham
One in a Million: The Ron LeFlore Story,1978,No Score Yet,No Score Yet,,Director,Movie,William Graham
And I Alone Survived,1978,No Score Yet,67,,Director,Movie,William Graham
Contract on Cherry Street,1977,No Score Yet,No Score Yet,,Director,Movie,William Graham
Minstrel Man,1977,No Score Yet,No Score Yet,,Director,Movie,William Graham
The Amazing Howard Hughes,1977,No Score Yet,58,,Director,Movie,William Graham
21 Hours at Munich,1976,No Score Yet,56,,Director,Movie,William Graham
Shark Kill,1976,No Score Yet,No Score Yet,,Director,Movie,William Graham
"Part 2, Sounder",1976,No Score Yet,No Score Yet,,Director,Movie,William Graham
Perilous Voyage,1976,No Score Yet,No Score Yet,,Director,Movie,William Graham
Sounder Part II,1976,No Score Yet,No Score Yet,,Director,Movie,William Graham
Beyond the Bermuda Triangle,1975,No Score Yet,No Score Yet,,Director,Movie,William Graham
Get Christie Love!,1974,No Score Yet,36,,Director,Movie,William Graham
Where the Lilies Bloom,1974,No Score Yet,84,,Director,Movie,William Graham
Trapped Beneath the Sea,1974,No Score Yet,No Score Yet,,Director,Movie,William Graham
Larry,1974,No Score Yet,No Score Yet,,Director,Movie,William Graham
Together Brothers,1973,No Score Yet,64,,Director,Movie,William Graham
Birds of Prey,1973,No Score Yet,47,,Director,Movie,William Graham
The Police Story,1973,No Score Yet,No Score Yet,,Director,Movie,William Graham
Shirts/Skins,1973,No Score Yet,No Score Yet,,Director,Movie,William Graham
Mr. Inside/Mr. Outside,1973,No Score Yet,No Score Yet,,Director,Movie,William Graham
Honky,1972,No Score Yet,No Score Yet,,Director,Movie,William Graham
"Cry for Me, Billy",1972,No Score Yet,No Score Yet,,Director,Movie,William Graham
Jigsaw,1972,No Score Yet,No Score Yet,,Director,Movie,William Graham
