title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Before I Fall,2017,https://www.rottentomatoes.com/m/before_i_fall,57,64,"Samantha Kingston (Zoey Deutch) seems to have it all: popularity, a loving boyfriend (Kian Lawley) and a seemingly perfect future. Everything changes in the blink of an eye when she dies in a car crash but then magically wakes up to find herself reliving the same day over and over again. As Samantha tries to untangle the mystery of a life derailed, she must also unravel the secrets of the people closest to her and discover how the power of a single day can make a difference.",Ry Russo-Young,"Brian Robbins, Matthew Kaplan, Jonathan Shestack",Maria Maggenti,Open Road,"Jon Shestack, Awesomeness Films",PG-13 (Drinking|Bullying|Some Violent Images|Language|Mature Thematic Content|Sexuality),"Drama, Mystery & Thriller",English,"Mar 3, 2017, Wide","May 16, 2017",1h 40m,,Brian Robbins,,$12.2M,,,
We Love You,2016,https://www.rottentomatoes.com/m/we_love_you,39,NA,"When best friends Noah and Ford realize they've both fallen for the same girl, it could be the end of their friendship. Then they come up with the idea that she just might be cool enough to date both of them.",Huck Botko,"Matthew Kaplan, Brian Robbins, Jonathan Shestack",Alan Yang,,Awesomeness Films,R (Sexual References),Comedy,English,,"Dec 6, 2016",1h 17m,,Brian Robbins,,,,,
Shovel Buddies,2016,https://www.rottentomatoes.com/m/shovel_buddies,38,NA,Four teenagers go on a quest to honor their friend's final wish after he succumbs to leukemia.,"Simon Atkinson, Adam Townley","Don Dunn, Benjamin Forkner, Ali Itri, Matthew Kaplan, Brin Lukens, Robyn Marshall, Brian Robbins, Dean Schnider, Larry Shapiro",Jason Mark Hellerman,,"Awesomeness Films, Entertainment 360",R (Some Drug Content|Sexual References|Language Throughout),Drama,English,,"Oct 12, 2016",1h 25m,,Brian Robbins,,,,,
Dance Camp,2016,https://www.rottentomatoes.com/m/dance_camp,62,NA,"A young man thinks he is about to have the worst summer of his life when he is sent to a dance camp. As the quirky charm of the camp grows on him, he meets a passionate young woman and joins her troupe to help win a competition.",Bert & Bertie,"Jon M. Chu, Matthew Kaplan, Brian Robbins",Cameron Fay,,Awesomeness TV,PG-13 (Some Suggestive References|Language|Brief Teen Partying),"Comedy, Drama",English,,"Sep 1, 2016",1h 23m,,Brian Robbins,,,,,
Janoskians: Untold and Untrue,2015,https://www.rottentomatoes.com/m/janoskians_untold_and_untrue,86,NA,"The semi-true story of the Janoskians. Their formation, fights, compromises and the quest to sell out Wembley Arena.",Brett Weiner,"Beau Brooks, Jai Brooks, Luke Brooks",Brett Weiner,,,,Documentary,English,,"Mar 3, 2016",1h 25m,,Brian Robbins,,,,,
Snervous Tyler Oakley,2015,https://www.rottentomatoes.com/m/snervous_tyler_oakley,58,40,Actor and YouTube star Tyler Oakley discusses his life and career as he embarks on his Slumber Party world tour.,Amy Rice,"Brian Robbins, Matthew Kaplan, Amy Rice, Laura Flanagan",,20th Century Fox,Awesomeness Films,PG-13 (Some Thematic Elements|Language),"Documentary, LGBTQ+",English,"Dec 11, 2015, Limited","Dec 11, 2015",1h 30m,,Brian Robbins,,,,,
SMOSH: The Movie!,2015,https://www.rottentomatoes.com/m/smosh_the_movie,42,NA,SMOSH duo Ian and Anthony must remove an embarrassing online video before it ruins Anthony's chances with his high-school crush.,Alex Winter,Brian Robbins,Eric Falconer,"Awesomeness TV, Defy Media","Defy Media, Awesomeness TV",PG-13 (Some Drug Content|Language|Crude and Sexual Humor|Violence),"Comedy, Sci-Fi",English,"Jul 24, 2015, Limited","May 23, 2016",1h 26m,,Brian Robbins,,,,,
Expelled,2014,https://www.rottentomatoes.com/m/expelled,53,NA,"Kicked out of high school, a prankster (Cameron Dallas) hatches a plan with his brother (Marcus Johns) and some friends to convince his parents that he is a good student.",Alex Goyette,"Alex Goyette, Shauna Phelan, Brian Robbins",Alex Goyette,,Awesomeness Films,PG-13 (Some Crude Language),Comedy,English,"Dec 16, 2014, Limited","Dec 15, 2015",1h 25m,,Brian Robbins,,,,,
Terry the Tomboy,2014,https://www.rottentomatoes.com/m/terry_the_tomboy,86,NA,"As an exciting summer starts, a teenage tomboy (Lia Marie Johnson) finds herself falling in love with her new neighbor.",Wade Randolph,"Scott Levine, Sam Limor, Brin Lukens",Wade Randolph,,,,Comedy,English,,,1h 30m,,Brian Robbins,,,,,
The To Do List,2013,https://www.rottentomatoes.com/m/the_to_do_list,46,55,"It's 1993, and high-school valedictorian Brandy Klark (Aubrey Plaza) decides she needs to shed her uptight image before college. She puts together a list of all the activities -- including sex -- she missed in high school. When she soon realizes she is out of her depth, Brandy enlists the aid of her friends, older sister, and boss. Summer marches on, and members of the group realize that they will need plenty of imagination and open mindedness to complete her project before September.",Maggie Carey,"Jennifer Todd, Brian Robbins, Sharla Sumpter Bridge",Maggie Carey,CBS Films,"Varsity Pictures, Mark Gordon Productions",R (Drug and Alcohol Use|All Involving Teens|Graphic Dialogue|Language|Strong Crude & Sexual Content),Comedy,English,"Jul 26, 2013, Wide","Oct 1, 2015",1h 44m,,Brian Robbins,,$3.4M,,,
Mindless Behavior: All Around The World,2013,https://www.rottentomatoes.com/m/mindless_behavior_lose_your_mind,95,NA,The group discusses its rise to fame and performs during the recent tour.,Steven Goldfried,"Bobby Campbell, Joe Davola, Steven Goldfried, Walter Millsap, Brian Robbins",,,"Streamline Records, Interscope Records, Atom Factory, Conjuction Films, AwesomenessTV Production, Society Pictures",G,Documentary,English,,"May 22, 2017",1h 26m,,Brian Robbins,,$344.5K,,,
A Thousand Words,2012,https://www.rottentomatoes.com/m/a_thousand_words,46,0,"Jack McCall (Eddie Murphy) is a selfish literary agent whose fast-talking ways allow him to close any deal. His next target is New Age guru Dr. Sinja (Cliff Curtis), but the savvy doctor sees right through Jack. A magical tree appears in Jack's yard, and, according to Dr. Sinja, the tree and Jack are connected; every time Jack says a word, a leaf falls from the tree. When the last leaf drops, Jack will die. With just a thousand leaves left, Jack must learn to curb his speech or he's a goner.",Brian Robbins,"Alain Chabat, Stephanie Danan, Nicolas Cage, Norman Golightly, Brian Robbins, Sharla Sumpter Bridge",Steve Koren,Paramount Pictures,"Work After Midnight Films, Paramount Pictures International, Saturn Films",PG-13 (Language|Dialogue|Sexual Situations|Some Drug-Related Humor),Comedy,English,"Mar 9, 2012, Wide","Jan 1, 2014",1h 31m,,Brian Robbins,"Datasat, SDDS, Dolby Digital",$18.4M,,,
Fred: The Movie,2010,https://www.rottentomatoes.com/m/fred_the_movie,41,0,"When the girl (Pixie Lott) of his dreams moves away, a teenager (Lucas Cruikshank) embarks on a journey to find her.",Clay Weiner,"Gary Binkow, Sharla Sumpter Bridge, Evan Weiss",David A. Goodman,,,TV-PG,"Kids & Family, Comedy, Musical",English,,"Aug 26, 2016",1h 30m,,Brian Robbins,,,,,
Meet Dave,2008,https://www.rottentomatoes.com/m/meet_dave,35,20,"Dave Ming Chang (Eddie Murphy) is the ultimate fish out of water. Even though he's just arrived in New York, that doesn't explain his odd behavior or disjointed locomotion. The outside Dave is actually a spaceship, controlled by a crew of tiny aliens, and modeled after their captain. As the crew contends with a slew of physical challenges, such as eating, drinking and excreting, they begin to experience profound emotional changes as well.",Brian Robbins,"David T. Friendly, Jon Berg, Todd Komarnicki","Rob Greenberg, Bill Corbett",20th Century Fox,"Guy Walks into a Bar Productions, Friendly Productions",PG (Bawdy and Suggestive Humor|Action|Some Language),"Kids & Family, Comedy, Sci-Fi",English,"Jul 11, 2008, Wide","Nov 25, 2015",1h 30m,Flat (1.85:1),Brian Robbins,"Dolby SRD, DTS, SDDS",$11.8M,,,
Wild Hogs,2007,https://www.rottentomatoes.com/m/wild_hogs,61,14,"Tired of their humdrum lives, some middle-aged friends (Tim Allen, John Travolta, Martin Lawrence) decide to temporarily ditch their responsibilities and take a motorcycle trip. The freedom of the open road holds many surprises for the group, including an encounter with the Del Fuegos, a hardcore gang, who take a dim view of the novice bikers.",Walt Becker,"Brian Robbins, Michael Tollin",Brad Copeland,Buena Vista,"Touchstone Pictures, Tollin/Robbins Productions",PG-13 (Some Violence|Crude and Sexual Content),Comedy,English,"Mar 2, 2007, Wide","Jan 1, 2014",1h 39m,Scope (2.35:1),Brian Robbins,"Dolby SRD, DTS, SDDS",$168.2M,,,
Norbit,2007,https://www.rottentomatoes.com/m/norbit,53,9,"Mild-mannered Norbit (Eddie Murphy) has always had it rough, since the day he was left abandoned at a combination Chinese restaurant and orphanage. Recently forced to marry the shrewish glutton Rasputia, he is at wit's end. Then his childhood sweetheart, Kate (Thandie Newton), moves back to town, and he tries to figure out a way back to his true love.",Brian Robbins,"John Davis, Eddie Murphy, Michael Tollin","Eddie Murphy, Charlie Murphy, Jay Scherick, David Ronn",Paramount Pictures,Tollin/Robbins Productions,PG-13 (Language|Crude and Sexual Humor|Some Nudity),Comedy,English,"Feb 9, 2007, Wide","Jun 6, 2014",1h 42m,Flat (1.85:1),Brian Robbins,"Dolby SRD, DTS, SDDS",$95.3M,,,
The Shaggy Dog,2006,https://www.rottentomatoes.com/m/shaggy_dog,39,26,"Deputy District Attorney Dave Douglas (Tim Allen) is a workaholic and frequently puts his job before his family. After taking on a case involving an animal laboratory, he becomes infected with a top-secret serum that transforms him into a dog. Life as a canine gives Dave new perspective on the importance of family, but before he can make things right with his wife and kids, he must sniff out the villains responsible for the serum.",Brian Robbins,David Hoberman,"Cormac Wibberley, Marianne Wibberley, Geoff Rodkey, Jack Amiel, Michael Begler",Buena Vista Pictures,Mandeville Films,PG (Some Mild Rude Humor),"Kids & Family, Comedy",English,"Mar 10, 2006, Wide","May 30, 2016",1h 39m,Scope (2.35:1),Brian Robbins,"Dolby SRD, DTS, SDDS",$61.1M,,,
Dreamer: Inspired by a True Story,2005,https://www.rottentomatoes.com/m/dreamer,78,64,"Ben Crane (Kurt Russell) is a horse trainer who is struggling to connect with his precocious daughter, Cale (Dakota Fanning). But then a horse by the name of Soñador suffers a broken leg after its evil owner (David Morse) races her despite Ben's advice. Rather than put his client's injured horse down, Ben adopts her and welcomes Cale into the family business. They train Soñador to race again as grouchy but kind-hearted Grandpa (Kris Kristofferson) lends his encouragement.",John Gatins,"Michael Tollin, Brian Robbins, Hunt Lowry",John Gatins,DreamWorks SKG,DreamWorks Pictures,PG (Brief Mild Language),"Kids & Family, Drama",English,"Oct 16, 2005, Original","Jan 1, 2014",1h 38m,Scope (2.35:1),Brian Robbins,"Surround, Dolby SRD, DTS, SDDS",$32.7M,,,
Coach Carter,2005,https://www.rottentomatoes.com/m/coach_carter,85,64,"In 1999, Ken Carter (Samuel L. Jackson) returns to his old high school in Richmond, California, to get the basketball team into shape. With tough rules and academic discipline, he succeeds in setting the players on a winning streak. But when their grades start to suffer, Carter locks them out of the gym and shuts down their championship season. When he is criticized by the players and their parents, he sticks to his guns, determined that they excel in class as well as on the court.",Thomas Carter,"Brian Robbins, Michael Tollin",Mark Schwahn,Paramount Pictures,"MTV Films, Tollin/Robbins Productions",PG-13 (Sexual Content|Language|Some Drug Material|Teen Partying|Violence),Drama,English,"Jan 14, 2005, Wide","Jun 15, 2011",2h 16m,Scope (2.35:1),Brian Robbins,"Dolby SRD, DTS, Surround",$67.3M,,,
The Perfect Score,2004,https://www.rottentomatoes.com/m/perfect_score,44,15,"College is up next for a group of high-school friends, so Francesca (Scarlett Johansson), the most daring of the group, suggests they steal SAT questions in order to increase their odds of getting into good universities. Hoop star Desmond (Darius Miles), studly Kyle (Chris Evans), working-class Matty (Bryan Greenberg), stoner Roy (Leonardo Nam) and foxy Anna (Erika Christensen) sign on for the scheme. But getting into the test facility after hours proves trickier than any multiple-choice exam.",Brian Robbins,"Roger Birnbaum, Jonathan Glickman, Brian Robbins, Michael Tollin","Mark Schwahn, Marc Hyman, Jon Zack",Paramount Pictures,MTV Films,PG-13 (Sexual Content|Language|Some Drug References),Comedy,English,"Jan 27, 2004, Wide","Jun 6, 2014",1h 33m,Flat (1.85:1),Brian Robbins,"Dolby SRD, DTS, Surround",$10.4M,,,
Radio,2003,https://www.rottentomatoes.com/m/radio,79,35,"In a racially divided town, coach Jones (Ed Harris) spots a mentally disabled African-American student named Radio (Cuba Gooding Jr.) near his practice field and is inspired to befriend him. Soon, Radio is Jones' loyal assistant, and principal Daniels (Alfre Woodard) happily notes that Radio's self-confidence is skyrocketing. But things start to sour when Jones begins taking guff from fans who feel that his devotion to Radio is getting in the way of the team's quest for a championship.",Michael Tollin,"Michael Tollin, Brian Robbins, Herb Gains",Mike Rich,Columbia Pictures,Revolution Studios,PG (Thematic Elements|Mild Language),Drama,English,"Oct 24, 2003, Wide","Apr 25, 2011",1h 49m,,Brian Robbins,"Surround, DTS, SDDS, Dolby Digital",$52.3M,,,
Big Fat Liar,2002,https://www.rottentomatoes.com/m/big_fat_liar,44,45,"Who's afraid of the big bad Wolf? Not Jason Shepherd (Frankie Muniz), who has to prove that sleazy Hollywood producer Marty Wolf (Paul Giamatti) stole his class paper and turned it into a blockbuster hit movie, Big Fat Liar. Traveling to Los Angeles with his best friend Kaylee (Amanda Bynes), Jason tries to break into show business -- literally. Through a hilarious series of pranks and ruses, Jason brings one of Hollywood's most powerful producers to his knees.",Shawn Levy,"Michael Tollin, Brian Robbins","Dan Schneider, Dan Schneider, Brian Robbins",Universal Pictures,"Mediastram Film, Tollin/Robbins Productions",PG (Some Language),"Kids & Family, Comedy",English,"Feb 8, 2002, Wide","Aug 10, 2016",1h 28m,Flat (1.85:1),Brian Robbins,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",$47.8M,,,
Hardball,2001,https://www.rottentomatoes.com/m/hardball,70,41,"Conor (Keanu Reeves) is a ticket scalper, gambler and, now, Little League coach for a rag-tag team of kids in one of the toughest part of Chicago. He's no role model, but his buddy Jimmy won't help him pay off his gambling debts unless Conor coaches Jimmy's corporately sponsored team. Surprising even himself, Conor becomes attached to his players -- and to their attractive schoolteacher (Diane Lane) -- and drawn into their tough and sometimes tragic lives.",Brian Robbins,"Michael Tollin, Tina Nides, Brian Robbins","Daniel Coyle, John Gatins",Paramount Pictures,"Fireworks Pictures, Paramount Pictures, Nides/McCormick Productions",PG-13 (Some Violence|Language|Thematic Elements),"Drama, Comedy",English,"Sep 14, 2001, Wide","Jun 6, 2014",1h 46m,Flat (1.85:1),Brian Robbins,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",$40.2M,,,
Summer Catch,2001,https://www.rottentomatoes.com/m/summer_catch,41,8,"A coming-of-age romantic comedy set against the backdrop of the Cape Cod Baseball League. Local boy Ryan Dunne (Freddie Prinze Jr.), now a pitcher for Boston College, meets Tenley Parrish (Jessica Biel), the daughter of a wealthy couple who summer on the Cape. Ryan and Tenley fall in love, much to the chagrin of their families, while Ryan clings to one last hope of being discovered and signed to a pro baseball contract.",Michael Tollin,"Michael Tollin, Brian Robbins, Sam Weisman","Kevin Falls, John Gatins",Warner Bros. Pictures,"Warner Brothers, Tollin/Robbins Productions",PG-13 (Language|Drinking|Sexual Content),"Romance, Comedy",English,"Aug 24, 2001, Wide","Oct 1, 2010",1h 48m,Flat (1.85:1),Brian Robbins,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",$19.7M,,,
Ready to Rumble,2000,https://www.rottentomatoes.com/m/ready_to_rumble,52,23,"Gordie Boggs (David Arquette) and Sean Dawkins (Scott Caan) are best friends who operate a sewage truck and idolize pro wrestler Jimmy King (Oliver Platt). After Diamond Dallas Page (Diamond Dallas Page) dethrones their hero, Gordie and Sean embark on a mission to help King get his title back. When they finally track him down, however, they discover that King is not too keen on recapturing his former glory. Can the boys find a way to motivate the faded champ?",Brian Robbins,"Bobby Newmyer, Jeffrey Silver",Steven Brill,Warner Bros. Pictures,"Bel Air Entertainment, Tollin/Robbins Productions, Outlaw Productions",PG-13 (Crude Humor|Brief Nudity|Language|Sexual Content|Violence),Comedy,English,"Apr 7, 2000, Wide","Jan 1, 2009",1h 47m,Flat (1.85:1),Brian Robbins,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",$12.4M,,,
Two Heads Are Better Than None,2000,https://www.rottentomatoes.com/m/two_heads_are_better_than_none,71,NA,"When the car breaks down during the Rockmore family road trip, Kenan and Kel encounter an eerie stranger and a headless knight.","Michael Grossman, Keith Truesdell","John Rogan, Jeanne Van Cott","Kevin Kopelow, Heath Seifert",,"Nickelodeon Productions, Tollin/Robbins Productions",TV-Y7,"Kids & Family, Comedy, Fantasy, Adventure",English,,,1h 30m,,Brian Robbins,,,,,
Varsity Blues,1999,https://www.rottentomatoes.com/m/varsity_blues,76,45,"In West Canaan, Texas, high school football reigns supreme. When starting quarterback Lance Harbor (Paul Walker) turns up injured, the Coyotes' ruthless coach, Bud Kilmer (Jon Voight), must promote benchwarmer Jonathon ""Mox"" Moxon (James Van Der Beek) to lead the team in its quest for a divisional title. Suddenly thrown into the spotlight, Mox must deal with the pressure of carrying the aspirations of an entire town on his shoulders, as he struggles to pursue his own very different dreams.",Brian Robbins,"Tova Laiter, Brian Robbins, Michael Tollin",W. Peter Iliff,Paramount Pictures,"Paramount Pictures, Marquee Tollin/Robins, MTV Films",R,"Comedy, Drama",English,"Jan 15, 1999, Original","Aug 1, 2013",1h 44m,Flat (1.85:1),Brian Robbins,"Surround, Dolby Digital, DTS",$52.9M,,,
Good Burger,1997,https://www.rottentomatoes.com/m/good_burger,63,33,"Teen misfits (Kel Mitchell, Kenan Thompson) at a modest burger joint face competition from a hamburger emporium across the street.",Brian Robbins,"Brian Robbins, Kevin Kopelow, Heath Seifert, Michael Tollin","Dan Schneider, Kevin Kopelow, Heath Seifert",Paramount Pictures,"Paramount Pictures, Tollin/Robbins Productions, Nickelodeon Movies",PG,Comedy,English,"Jul 25, 1997, Original","Aug 1, 2013",1h 35m,,Brian Robbins,"Surround, Dolby",$23.7M,,,
Rap Show,1995,https://www.rottentomatoes.com/m/rap_show,NA,NA,Musical artists from the world of rap and hip-hop express themselves in candid interviews and concert performances.,Brian Robbins,,,,,R,Documentary,,,,1h 33m,,Brian Robbins,Surround,,,,
The Show,1995,https://www.rottentomatoes.com/m/the_show_1995,85,80,Filmmaker Brian Robbins' profile of rap and hip-hop performers includes footage of preparations for a Philadelphia concert.,Brian Robbins,"Robert A. Johnson, Michael Tollin, Brian Robbins",,,,R,Documentary,English,,,1h 33m,,Brian Robbins,"Stereo, Surround",$2.3M,,,
Hank Aaron: Chasing the Dream,1995,https://www.rottentomatoes.com/m/hank-aaron-chasing-the-dream,NA,NA,"In this documentary, stock footage, interviews and reenactments are used to tell the story of Hank Aaron, the black Major League Baseball star who broke Babe Ruth's longstanding record for most career home runs. Sports legends Barry Bonds and Ken Griffey Jr. describe how Aaron's achievement inspired their own successes, and those who played with and against the slugger offer firsthand accounts of his talents. Aaron also sits down to discuss his career and civil rights activism.",Michael Tollin,Fredric Golding,,Turner Pictures,,,Documentary,English,"Apr 12, 1995, Original",,1h 36m,,Brian Robbins,Stereo,,,,
DaVinci's War,1993,https://www.rottentomatoes.com/m/davincis_war,NA,NA,Veterans and a hit man (Michael Nouri) unite against killers with an ex-commando (Joey Travolta) out to avenge his slain sister.,Raymond Martino,"Steve Rockmael, Joey Travolta",Raymond Martino,,,R,Action,English,,,1h 37m,,Brian Robbins,,,,,
C.H.U.D. II,1989,https://www.rottentomatoes.com/m/chud_ii,23,NA,"Teens (Brian Robbins, Bill Calvert) free the corpse of a Cannibalistic Humanoid Underground Dweller called Bud (Gerrit Graham).",David Irving,Jonathan D. Krane,,Vestron Pictures,"Management Company Entertainment Group, Vestron Pictures",R,Horror,English,"May 15, 1989, Limited","Oct 1, 2013",1h 25m,,Brian Robbins,Surround,,,,
Cellar Dweller,1988,https://www.rottentomatoes.com/m/cellar_dweller,27,NA,"Colin Childress (Jeffrey Combs), a highly successful comic book artist who gains inspiration from a mystical book of horrific drawings, inadvertently summons an evil spirit into his basement studio. Decades later, his house has become a small art institute run by the stern Mrs. Briggs (Yvonne De Carlo). One night, comely student Whitney Taylor (Debrah Farentino) goes rooting around the sealed boxes in the cellar and releases the supernatural forces trapped there.",John Carl Buechler,Bob Wynn,Don Mancini,,Empire Pictures,,Horror,English,,,1h 17m,,Brian Robbins,Surround,,"Oct 29, 2013",,
One Terrific Guy,1986,https://www.rottentomatoes.com/m/one_terrific_guy,NA,NA,"Parents (Mariette Hartley, Laurence Luckinbill) expose a high-school teacher's (Wayne Rogers) use of girls in so-called sex research for his Ph.D.",Lou Antonio,,,,,,Drama,English,,,1h 40m,,Brian Robbins,,,,,
The Gladiator,1986,https://www.rottentomatoes.com/m/the_gladiator_1986,NA,NA,A road warrior vigilante avenges his brother's death at the hands of a crazy motorist by using his souped-up pickup to apprehend drunken drivers and others who abuse their driving privileges.,Abel Ferrara,Robert Lovenheim,"Jeffrey Walker, Tom Schulman, William Bleich",,"FilmRise, Walker Brothers Productions, New World Television",,"Action, Drama, Mystery & Thriller",English,,,1h 34m,,Brian Robbins,,,,,
Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman,2021,https://www.rottentomatoes.com/m/hollywood_bulldogs,NA,NA,"Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman tells the rough-and-tumble story of the small community of British stunt performers who went on to dominate Hollywood in the 1970s and 80s. Growing out of the ragtag community of bouncers, gangsters and demobbed soldiers who were prepared to take a punch or chuck themselves down a flight of stairs for a few quid, the next generation went on to turn stunt work into a legitimate profession. Partying and drinking their way through death and tragedy, they created and performed the iconic action sequences of 007, Indiana Jones, Superman, Rambo, Star Wars, Conan, the Alien films and pretty much everything since. They crashed cars, jumped from burning buildings, shot, stabbed, kicked and punched their way into cinema history and all before the arrival of CG. Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman is the first feature documentary to unite this legendary community in telling their story and there's life in the old dogs yet...",Jon Spira,Hank Starrs,Jon Spira,,"Canal Cat Films, Verax Films",,Documentary,British English,,"Nov 1, 2021",1h 45m,,Vic Armstrong,,,,,
A Sunday Horse,2016,https://www.rottentomatoes.com/m/a_sunday_horse,58,NA,"Inspired by the true story of the talented, driven horse rider Debi Walden. Debi defies the odds against her -- first, by becoming a top competitor in a field reserved for the wealthy, and then by surviving a near-fatal riding accident. In virtual isolation, supported only by the loyalty of her sponsor, she forces herself through painful rehab. Fueled by sheer force of will and fierce courage, Debi wins the US national jumping championship on a horse once slated for slaughter.",Vic Armstrong,Ronnie D. Clemmer,"Fred T. Kuehnert, Susan Rhinehart",4Digital Media,The Sunday Horse II,,"Biography, Drama, Sports",English,,,1h 48m,Scope (2.35:1),Vic Armstrong,,,"Sep 12, 2023",,
Left Behind,2014,https://www.rottentomatoes.com/m/left_behind_2014,20,0,"The entire planet is thrown into mayhem when millions of people disappear without a trace -- all that remains are their clothes and belongings. Unmanned vehicles crash and planes fall from the sky, overwhelming emergency forces and causing massive gridlock, riots and chaos. Airline pilot Ray Steele (Nicolas Cage) struggles to save the lives of the passengers who remain on his flight, while his daughter (Cassi Thomson) races to find her brother and mother, both of whom have disappeared.",Vic Armstrong,"Paul Lalonde, Ed Clydesdale","Paul Lalonde, John Patus",Freestyle Releasing,"Stoney Lake Entertainment, Entertainment One",PG-13 (Some Thematic Elements|Brief Drug Content|Violence/Peril),"Action, Mystery & Thriller, Sci-Fi",English,"Oct 3, 2014, Wide","Dec 22, 2014",1h 51m,,Vic Armstrong,,$14.0M,,,
Blade: Trinity,2004,https://www.rottentomatoes.com/m/blade_trinity,58,24,"The war between humans and vampires continues, but the humans' best hope, human-vampire hybrid warrior Blade (Wesley Snipes), has been framed for countless murders, turning popular sentiment against him. The vampire leader responsible for Blade's bad publicity is Danica Talos (Parker Posey), who's determined to finally lead her bloodthirsty compatriots to victory. Now Blade must team up with a band of rogue vampire hunters (Ryan Reynolds, Jessica Biel) to save humanity.",David S. Goyer,"Avi Arad, Peter Frankfurt, David S. Goyer, Lynn Harris, Wesley Snipes",David S. Goyer,New Line Cinema,"Imaginary Forces, Marvel Enterprises, Shawn Danielle Production Services, Amen Ra Films, New Line Cinema, Peter Frankovich Productions",R (Some Sexual Content|Language|Strong Pervasive Violence),"Horror, Action, Fantasy, Sci-Fi",English,"Dec 8, 2004, Wide","Aug 26, 2013",1h 54m,Scope (2.35:1),Vic Armstrong,"Surround, Dolby SRD, DTS, SDDS",$52.4M,,,
Die Another Day,2002,https://www.rottentomatoes.com/m/die_another_day,41,55,"James Bond (Pierce Brosnan) is captured by North Korean agents and must serve a grueling prison sentence. He's finally released, and is convinced that someone in his own agency betrayed him. He escapes from custody and travels to Cuba, hot on the heels of Zao (Rick Yune), the agent who put Bond behind bars. Meanwhile, Bond begins romancing NSA agent Jinx (Halle Berry) as he uncovers a scheme concocted by Zao and British millionaire Graves (Toby Stephens), involving a highly destructive laser.",Lee Tamahori,"Michael G. Wilson, Barbara Broccoli","Neal Purvis, Robert Wade","20th Century Fox Italia, UGC-Fox Distribution, Gativideo, 20th Century Fox, Metro-Goldwyn-Mayer, 20th Century Fox of Germany","Eon Productions Ltd., United Artists, Danjaq Productions, Metro Goldwyn Mayer",PG-13 (Sexuality|Action/Violence),"Action, Adventure, Mystery & Thriller",English,"Nov 22, 2002, Wide","Oct 1, 2016",2h 10m,Scope (2.35:1),Vic Armstrong,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",$160.2M,,,
Adventures of Young Indiana Jones: The Adventures in the Secret Service,1999,https://www.rottentomatoes.com/m/the-adventures-of-young-indiana-jones-adventures-in-the-secret-service,67,NA,"During World War I, Indy (Sean Patrick Flanery) tries to arrange a European alliance and goes under cover to monitor Russian revolutionaries.","Vic Armstrong, Simon Wincer",Rick McCallum,,,,,Adventure,English,,,1h 36m,,Vic Armstrong,,,,,
Army of One,1994,https://www.rottentomatoes.com/m/1050564-army_of_one,50,NA,A Los Angeles police detective (George Segal) tracks a fugitive (Dolph Lundgren) who heads for the desert with a deputy sheriff (Kristian Alfonso) as hostage.,Vic Armstrong,"Andy Armstrong, Illana Diamant",Steven Pressfield,,,R,Action,English,"Oct 19, 1994, Wide",,1h 40m,,Vic Armstrong,Stereo,,"Feb 26, 2013",,
House on Straw Hill,1976,https://www.rottentomatoes.com/m/1006886-expose,18,NA,A paranoid writer's (Udo Kier) troubles begin after he hires a secretary (Linda Hayden) to help with his second novel.,James Kenelm Clarke,Brian Smedley-Aston,James Kenelm Clarke,,,R,"Horror, Mystery & Thriller",English,,"Sep 3, 2019",1h 20m,,Vic Armstrong,,,,,
Hot Air,2018,https://www.rottentomatoes.com/m/hot_air_2019,62,17,"The life of conservative radio host Lionel Macomb is turned upside down when his 16-year-old niece, Tess, suddenly shows up, questioning everything he stands for.",Frank Coraci,"Frank Coraci, Aimee Keen, Susan Leber",Will Reichel,Freestyle Releasing,Spanknyce Films,,Drama,English,"Aug 23, 2019, Limited","Aug 23, 2019",1h 43m,,Frank Coraci,,,,,
The Ridiculous 6,2015,https://www.rottentomatoes.com/m/the_ridiculous_6,36,0,"White Knife, an orphan raised by Native Americans, discovers that five outlaws are actually his half-brothers. Together, they set out to save their wayward father.",Frank Coraci,"Allen Covert, Aimee Keen, Adam Sandler","Tim Herlihy, Adam Sandler",,"Happy Madison Productions, Eaves Movie Ranch",TV-14,"Comedy, Western",English,,"Apr 3, 2017",1h 59m,,Frank Coraci,,,,,
