鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,台北市中正區重慶南路一段99號11樓1105室,0.0,,,,1011201,土地0建物1車位0,十一層,11,辦公商業大樓,商業用,鋼筋混凝土造,0680219,49.5,0,0,0,無,有,有,15000,303,,0.0,0,,RPUOMLSLKIHFFBA08CC
大同區,車位,台北市大同區市民大道一段211號16樓之17,4.65,其他,,,1010801,土地0建物0車位1,地下六層,0,其他,見其他登記事項,見其他登記事項,0980724,63.230000000000004,0,0,0,有,有,無,3333,,坡道平面,13.47,3333,,RPXOMLSLKIHFFBA38CC
大同區,建物,台北市大同區市民大道一段201號12樓之6,13.89,其他,,,1010804,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,139.64,2,2,2,有,有,有,60000,430,,0.0,0,,RPOPMLSLKIHFFBA57CC
大同區,建物,台北市大同區市民大道一段211號14樓之13,0.0,其他,,,1010901,土地0建物0車位0,十四層,18,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0980724,72.52,0,0,0,無,有,有,44000,607,,0.0,0,,RPTPMLSLKIHFFBA08CC
大同區,建物,台北市大同區市民大道一段207號5樓之6,0.0,其他,,,1010828,土地0建物0車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.48,2,1,1,有,無,有,65000,703,,0.0,0,,RPUPMLSLKIHFFBA18CC
大同區,建物,台北市大同區市民大道一段203號12樓之15,0.0,其他,,,1011113,土地0建物0車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.48,2,1,1,有,有,有,55000,595,,0.0,0,,RPTQMLSLKIHFFBA18CC
大同區,建物,台北市大同區承德路三段9號11樓,0.0,商,,,1011226,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990903,183.35,3,2,2,有,有,有,54480,297,,0.0,0,,RPORMLSLKIHFFBA77CC
中山區,建物,台北市中山區合江街55巷17號5樓,0.0,住,,,1011225,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980414,65.50999999999999,1,1,1,有,有,有,32000,488,,0.0,0,,RPRNMLSLKIHFFCA77CC
內湖區,建物,台北市內湖區基湖路8號1樓-11樓,2501.34,工,,,1011222,土地0建物1車位0,見其他登記事項,11,辦公商業大樓,見使用執照,鋼筋混凝土造,0880128,19602.93,0,0,0,無,有,無,4513130,230,,0.0,548800,整棟承租，含車位196個,RPPOMLSLKIHFFCA67CC
中山區,建物,台北市中山區長安東路一段52巷5號10樓,0.0,商,,,1011114,土地0建物0車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000322,150.71,3,1,2,有,有,有,95000,630,,0.0,0,,RPROMLSLKIHFFCA87CC
